"id","coeficientes","erro_quadratico_medio"
"1","[-3.5596779838540557e-09, -7.01320970015362e-10, 4.720639562493974e-09, -2.393952326165306e-09, -1.2176886207912876e-09, 1.5436469956864372e-09, 2.7667484545178662e-09, 2.8920471727234307e-09, 6.345278277023033e-10, 9.153718265793092e-09, 1.7958721123054496e-09, -6.212785663583446e-09, 5.5871268838111256e-09, 3.7374040165892275e-09, -2.7353802537305298e-09, -6.935071360095785e-09, -3.85607817415498e-08, 4.5548081333488116e-10, 2.1468368006103466e-09, -5.400748320243143e-10, 1.1965657424225125e-08, 1.1385011612454093e-09, 1.4318526260772164e-08, -6.612927353232144e-11, -7.648326799002655e-10, -2.0844356744225893e-07, 3.0657667467648466e-10, 2.4902301013584487e-07, -4.891173075438181e-08, -1.494457499688995e-08, 5.718882291910924e-09, 6.784172912241836e-10, 9.742423364452983e-08, 1.8848538612275503e-08, 1.3940987798898312e-10, 2.437905244151758e-09, 6.371926490305425e-10, 6.834812931770023e-12, -2.702730591408441e-09, 3.1522870834245074e-09, -8.591957877309311e-08, -1.6620143806520968e-08, 0.0001785317516128356, 8.329615967963414e-05, 1.0075819438608156e-05, 2.135407564328139e-06, -2.3904330627876127e-18, 2.996963757945032e-07, 1.5132556374180723e-08]","9417200.0"
"2","[-3.5596779838540557e-09, -7.01320970015362e-10, 4.720639562493974e-09, -2.393952326165306e-09, -1.2176886207912876e-09, 1.5436469956864372e-09, 2.7667484545178662e-09, 2.8920471727234307e-09, 6.345278277023033e-10, 9.153718265793092e-09, 1.7958721123054496e-09, -6.212785663583446e-09, 5.5871268838111256e-09, 3.7374040165892275e-09, -2.7353802537305298e-09, -6.935071360095785e-09, -3.85607817415498e-08, 4.5548081333488116e-10, 2.1468368006103466e-09, -5.400748320243143e-10, 1.1965657424225125e-08, 1.1385011612454093e-09, 1.4318526260772164e-08, -6.612927353232144e-11, -7.648326799002655e-10, -2.0844356744225893e-07, 3.0657667467648466e-10, 2.4902301013584487e-07, -4.891173075438181e-08, -1.494457499688995e-08, 5.718882291910924e-09, 6.784172912241836e-10, 9.742423364452983e-08, 1.8848538612275503e-08, 1.3940987798898312e-10, 2.437905244151758e-09, 6.371926490305425e-10, 6.834812931770023e-12, -2.702730591408441e-09, 3.1522870834245074e-09, -8.591957877309311e-08, -1.6620143806520968e-08, 0.0001785317516128356, 8.329615967963414e-05, 1.0075819438608156e-05, 2.135407564328139e-06, -2.3904330627876127e-18, 2.996963757945032e-07, 1.5132556374180723e-08]","9417200.0"
"3","[-3.559677983854055e-09, -7.013209700153624e-10, 4.720639562493976e-09, -2.3939523261653055e-09, -1.2176886207912872e-09, 1.5436469956864368e-09, 2.7667484545178666e-09, 2.8920471727234328e-09, 6.345278277023037e-10, 9.153718265793092e-09, 1.7958721123054496e-09, -6.212785663583443e-09, 5.587126883811125e-09, 3.73740401658923e-09, -2.7353802537305285e-09, -6.935071360095786e-09, -3.8560781741549813e-08, 4.5548081333488137e-10, 2.1468368006103466e-09, -5.400748320243142e-10, 1.1965657424225128e-08, 1.1385011612454093e-09, 1.431852626077216e-08, -6.612927353232143e-11, -7.648326799002656e-10, -2.0844356744225888e-07, 3.065766746764846e-10, 2.490230101358449e-07, -4.891173075438183e-08, -1.494457499688995e-08, 5.718882291910924e-09, 6.784172912241839e-10, 9.742423364452983e-08, 1.884853861227551e-08, 1.394098779889831e-10, 2.4379052441517583e-09, 6.37192649030543e-10, 6.834812931784047e-12, -2.702730591408441e-09, 3.152287083424507e-09, -8.591957877309311e-08, -1.662014380652097e-08, 0.00017853175161283583, 8.329615967963395e-05, 1.0075819438619635e-05, 2.135407564328141e-06, -2.2578295104020122e-18, 2.9969637579450404e-07, 1.5132556374180703e-08]","9417200.0"
